2023-12-28 15:43:04,649 INFO    MainThread:13050 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_setup.py:_flush():76] Configure stats pid to 13050
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_setup.py:_flush():76] Loading settings from /Users/AahanAgrawal/.config/wandb/settings
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_setup.py:_flush():76] Loading settings from /Users/AahanAgrawal/Documents/workspace/cd0581-building-a-reproducible-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_13/starter/wandb/settings
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-4-training-validation-experiment-tracking/exercises/exercise_13/starter/run.py', 'program_abspath': '/Users/AahanAgrawal/Documents/workspace/cd0581-building-a-reproducible-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_13/starter/run.py', 'program': '/Users/AahanAgrawal/Documents/workspace/cd0581-building-a-reproducible-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_13/starter/run.py'}
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_init.py:_log_setup():524] Logging user logs to /Users/AahanAgrawal/Documents/workspace/cd0581-building-a-reproducible-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_13/starter/wandb/run-20231228_154304-n2gwybrw/logs/debug.log
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/AahanAgrawal/Documents/workspace/cd0581-building-a-reproducible-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_13/starter/wandb/run-20231228_154304-n2gwybrw/logs/debug-internal.log
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_init.py:init():564] calling init triggers
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_init.py:init():614] starting backend
2023-12-28 15:43:04,650 INFO    MainThread:13050 [wandb_init.py:init():618] setting up manager
2023-12-28 15:43:04,652 INFO    MainThread:13050 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-12-28 15:43:04,654 INFO    MainThread:13050 [wandb_init.py:init():624] backend started and connected
2023-12-28 15:43:04,656 INFO    MainThread:13050 [wandb_init.py:init():716] updated telemetry
2023-12-28 15:43:04,711 INFO    MainThread:13050 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-28 15:43:05,078 INFO    MainThread:13050 [wandb_run.py:_on_init():2254] communicating current version
2023-12-28 15:43:05,153 INFO    MainThread:13050 [wandb_run.py:_on_init():2263] got version response 
2023-12-28 15:43:05,153 INFO    MainThread:13050 [wandb_init.py:init():800] starting run threads in backend
2023-12-28 15:43:06,233 INFO    MainThread:13050 [wandb_run.py:_console_start():2233] atexit reg
2023-12-28 15:43:06,233 INFO    MainThread:13050 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-28 15:43:06,234 INFO    MainThread:13050 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-28 15:43:06,234 INFO    MainThread:13050 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-28 15:43:06,234 INFO    MainThread:13050 [wandb_init.py:init():841] run started, returning control to user process
2023-12-28 15:43:19,491 WARNING MsgRouterThr:13050 [router.py:message_loop():77] message_loop has been closed
